user,item,interaction
0,0,1
1,1,1
1,2,1
2,3,1
3,4,1
4,5,1
5,6,1
6,7,1
6,8,1
7,9,1
7,10,1
7,11,1
7,12,1
7,13,1
8,14,1
9,15,1
9,16,1
9,17,1
10,6,1
11,18,1
12,6,1
2,3,1
13,19,1
14,20,1
14,21,1
1,1,1
1,2,1
10,6,1
15,6,1
16,22,1
16,23,1
16,24,1
16,25,1
8,14,1
17,6,1
18,26,1
19,27,1
8,28,1
20,29,1
18,30,1
20,31,1
18,26,1
18,30,1
21,32,1
12,6,1
21,33,1
21,34,1
21,35,1
21,36,1
21,37,1
21,38,1
21,39,1
21,40,1
21,41,1
21,42,1
21,43,1
21,44,1
21,45,1
21,46,1
8,28,1
21,45,1
21,44,1
21,46,1
21,43,1
21,42,1
21,41,1
21,40,1
21,39,1
21,38,1
21,37,1
21,36,1
22,47,1
22,48,1
21,35,1
22,49,1
22,50,1
21,34,1
22,51,1
22,52,1
21,33,1
21,32,1
23,53,1
23,54,1
21,55,1
24,56,1
25,57,1
7,58,1
26,59,1
26,60,1
27,61,1
21,62,1
21,63,1
28,64,1
29,65,1
30,66,1
26,67,1
26,68,1
26,69,1
28,70,1
31,71,1
32,72,1
32,73,1
32,74,1
33,75,1
34,0,1
26,60,1
26,59,1
26,76,1
35,77,1
33,75,1
26,76,1
36,78,1
36,79,1
36,80,1
36,81,1
36,82,1
37,83,1
5,6,1
38,6,1
39,84,1
39,85,1
39,85,1
39,84,1
40,6,1
37,86,1
41,87,1
40,6,1
38,6,1
42,77,1
43,88,1
44,89,1
44,90,1
45,91,1
46,6,1
47,6,1
48,77,1
49,77,1
46,6,1
2,3,1
50,6,1
17,6,1
51,6,1
45,91,1
52,6,1
53,6,1
54,6,1
52,92,1
19,27,1
52,93,1
52,94,1
19,27,1
55,95,1
56,6,1
57,6,1
58,6,1
59,96,1
59,97,1
59,98,1
59,96,1
59,99,1
59,100,1
59,101,1
59,102,1
60,6,1
52,103,1
52,104,1
59,105,1
52,106,1
59,107,1
52,108,1
59,109,1
52,110,1
59,111,1
59,112,1
59,113,1
59,114,1
59,115,1
59,116,1
52,6,1
61,117,1
62,6,1
63,6,1
64,6,1
16,118,1
16,119,1
16,120,1
65,121,1
33,75,1
66,6,1
33,75,1
67,6,1
68,6,1
69,6,1
70,6,1
71,122,1
71,123,1
71,124,1
71,125,1
71,126,1
71,127,1
71,128,1
19,27,1
7,129,1
7,130,1
7,131,1
7,132,1
7,133,1
7,134,1
7,134,1
7,133,1
7,132,1
7,131,1
7,130,1
7,129,1
72,135,1
73,6,1
74,6,1
75,6,1
56,6,1
7,136,1
7,137,1
7,138,1
7,139,1
7,139,1
7,138,1
7,137,1
7,136,1
76,140,1
77,141,1
77,142,1
77,143,1
78,6,1
79,144,1
7,145,1
7,146,1
7,147,1
7,148,1
7,149,1
7,149,1
7,148,1
7,147,1
7,146,1
7,145,1
15,6,1
62,6,1
80,150,1
7,151,1
7,152,1
7,153,1
7,154,1
7,155,1
81,156,1
81,157,1
7,151,1
7,152,1
7,153,1
7,154,1
7,155,1
81,158,1
82,6,1
83,6,1
81,159,1
81,158,1
84,6,1
81,157,1
81,156,1
85,6,1
86,160,1
86,160,1
87,6,1
88,6,1
64,6,1
7,161,1
7,162,1
7,163,1
7,164,1
89,165,1
7,161,1
7,162,1
7,163,1
7,164,1
90,166,1
91,6,1
92,6,1
93,6,1
53,6,1
57,6,1
47,6,1
94,6,1
95,6,1
96,6,1
88,167,1
88,6,1
97,168,1
98,169,1
99,6,1
100,6,1
101,6,1
102,6,1
103,6,1
104,6,1
104,170,1
65,121,1
105,171,1
101,172,1
101,173,1
106,6,1
107,6,1
101,6,1
108,174,1
109,175,1
49,77,1
42,77,1
35,77,1
110,6,1
111,6,1
96,6,1
87,6,1
50,6,1
112,176,1
112,177,1
112,178,1
112,179,1
109,175,1
104,170,1
48,77,1
48,77,1
113,180,1
113,181,1
113,182,1
113,183,1
113,184,1
114,185,1
114,186,1
114,187,1
114,188,1
114,189,1
114,190,1
114,191,1
114,192,1
115,6,1
114,192,1
114,187,1
114,186,1
114,185,1
114,191,1
114,190,1
114,189,1
114,188,1
69,6,1
116,193,1
116,194,1
116,195,1
116,196,1
116,197,1
116,198,1
116,199,1
116,200,1
116,195,1
116,194,1
116,193,1
67,6,1
66,6,1
117,201,1
117,202,1
117,203,1
118,204,1
117,205,1
118,206,1
119,207,1
117,208,1
120,209,1
120,210,1
121,211,1
122,212,1
122,213,1
121,214,1
122,215,1
123,216,1
124,217,1
117,218,1
119,219,1
117,220,1
125,6,1
118,221,1
117,222,1
18,223,1
117,224,1
117,225,1
117,226,1
121,227,1
117,228,1
117,229,1
126,230,1
124,231,1
118,232,1
118,233,1
121,234,1
117,235,1
127,236,1
127,237,1
127,238,1
127,239,1
128,240,1
121,241,1
125,6,1
129,242,1
130,243,1
131,244,1
130,245,1
132,246,1
133,247,1
121,248,1
18,249,1
122,250,1
134,251,1
134,252,1
134,253,1
134,254,1
134,255,1
118,256,1
117,257,1
135,258,1
122,259,1
129,260,1
136,261,1
137,6,1
18,262,1
117,263,1
138,264,1
122,265,1
119,266,1
120,267,1
135,268,1
118,269,1
121,270,1
6,7,1
120,271,1
18,262,1
18,262,1
134,272,1
122,273,1
18,223,1
6,8,1
139,274,1
140,275,1
141,276,1
142,6,1
143,6,1
144,277,1
144,278,1
144,279,1
145,6,1
146,280,1
115,6,1
146,280,1
93,6,1
147,281,1
147,282,1
147,283,1
148,284,1
148,284,1
148,284,1
148,285,1
148,286,1
73,6,1
148,287,1
148,288,1
149,247,1
136,261,1
148,289,1
150,290,1
148,291,1
116,292,1
148,293,1
148,294,1
116,295,1
148,296,1
116,297,1
54,6,1
148,298,1
148,299,1
148,300,1
148,301,1
148,302,1
151,303,1
92,6,1
116,304,1
116,305,1
116,306,1
116,307,1
116,308,1
152,309,1
116,310,1
116,310,1
116,308,1
116,307,1
116,306,1
153,311,1
116,305,1
116,304,1
154,311,1
155,6,1
142,6,1
82,6,1
83,6,1
84,6,1
94,6,1
95,6,1
156,312,1
58,6,1
111,6,1
68,6,1
145,6,1
157,313,1
157,313,1
137,6,1
136,314,1
63,6,1
103,6,1
55,315,1
158,316,1
159,317,1
160,318,1
160,319,1
161,320,1
161,321,1
161,322,1
161,323,1
161,324,1
114,325,1
114,326,1
114,327,1
162,328,1
114,329,1
114,330,1
114,331,1
114,332,1
114,333,1
163,334,1
33,75,1
85,6,1
163,334,1
164,335,1
164,336,1
164,337,1
164,338,1
164,339,1
164,340,1
164,341,1
165,342,1
163,334,1
166,343,1
63,6,1
102,6,1
167,344,1
167,345,1
33,346,1
33,75,1
168,347,1
168,348,1
168,348,1
168,347,1
169,6,1
170,349,1
170,350,1
171,351,1
48,77,1
172,352,1
170,353,1
171,351,1
110,6,1
173,354,1
1,355,1
1,355,1
91,356,1
7,357,1
7,358,1
78,6,1
7,359,1
7,360,1
7,358,1
7,357,1
174,361,1
91,6,1
175,362,1
176,363,1
177,6,1
104,6,1
178,364,1
178,365,1
178,366,1
179,367,1
178,368,1
179,369,1
180,370,1
181,371,1
55,315,1
182,372,1
182,373,1
2,3,1
60,6,1
183,374,1
177,6,1
183,375,1
183,376,1
183,377,1
183,378,1
183,379,1
159,317,1
184,380,1
185,381,1
186,6,1
186,6,1
75,6,1
187,382,1
74,6,1
188,383,1
188,384,1
188,385,1
188,386,1
188,387,1
188,388,1
189,389,1
189,390,1
189,391,1
189,392,1
189,393,1
189,394,1
172,352,1
190,395,1
191,396,1
191,397,1
191,398,1
191,399,1
191,400,1
192,401,1
193,402,1
187,382,1
1,403,1
1,404,1
194,405,1
1,406,1
1,407,1
1,408,1
194,409,1
194,410,1
100,6,1
107,6,1
155,6,1
63,6,1
195,411,1
106,6,1
99,6,1
196,412,1
197,413,1
197,414,1
197,415,1
76,416,1
76,417,1
76,418,1
76,419,1
198,420,1
199,421,1
200,422,1
170,423,1
170,424,1
201,425,1
202,426,1
203,427,1
203,427,1
203,428,1
203,428,1
203,429,1
203,430,1
203,431,1
204,432,1
204,433,1
204,434,1
1,435,1
1,1,1
1,2,1
1,435,1
205,6,1
206,6,1
207,6,1
1,435,1
208,6,1
48,77,1
1,1,1
1,2,1
5,6,1
177,6,1
209,6,1
209,6,1
210,436,1
211,6,1
1,435,1
212,437,1
68,6,1
213,6,1
214,438,1
215,6,1
17,6,1
216,439,1
216,440,1
217,6,1
218,6,1
219,441,1
219,442,1
219,443,1
219,443,1
219,443,1
219,444,1
219,445,1
220,6,1
210,436,1
221,446,1
222,6,1
213,6,1
213,6,1
223,6,1
224,6,1
221,446,1
51,6,1
215,6,1
223,6,1
18,447,1
216,448,1
182,449,1
18,450,1
20,6,1
20,451,1
20,6,1
28,64,1
20,31,1
20,29,1
225,6,1
226,452,1
33,382,1
33,75,1
227,453,1
227,454,1
228,455,1
229,456,1
229,457,1
230,458,1
231,6,1
232,459,1
233,6,1
177,6,1
234,460,1
235,461,1
236,6,1
237,77,1
238,462,1
231,6,1
233,6,1
236,6,1
232,459,1
55,463,1
239,464,1
240,465,1
240,466,1
241,467,1
241,468,1
241,469,1
242,470,1
242,465,1
242,471,1
243,472,1
218,6,1
217,6,1
220,6,1
17,6,1
244,473,1
5,6,1
245,474,1
213,6,1
222,6,1
245,474,1
246,27,1
246,27,1
247,475,1
247,476,1
248,477,1
249,478,1
249,479,1
249,480,1
106,6,1
250,6,1
237,77,1
235,461,1
208,6,1
243,472,1
251,77,1
252,6,1
253,6,1
254,6,1
7,481,1
7,482,1
7,129,1
255,483,1
255,484,1
7,129,1
253,6,1
7,485,1
7,486,1
7,487,1
7,488,1
7,489,1
205,6,1
206,6,1
207,6,1
68,6,1
256,490,1
257,6,1
7,491,1
7,492,1
7,358,1
253,6,1
254,6,1
100,6,1
258,6,1
70,6,1
259,493,1
211,6,1
259,494,1
259,495,1
259,496,1
260,497,1
260,498,1
48,77,1
48,77,1
68,6,1
33,382,1
33,75,1
33,75,1
261,499,1
261,492,1
261,3,1
262,500,1
263,6,1
70,6,1
264,6,1
262,500,1
265,6,1
266,6,1
267,501,1
267,502,1
268,6,1
269,6,1
270,503,1
106,6,1
224,6,1
271,382,1
250,6,1
272,504,1
252,6,1
273,6,1
274,6,1
275,6,1
276,6,1
277,6,1
257,6,1
278,3,1
279,505,1
280,506,1
280,507,1
79,508,1
79,509,1
79,510,1
79,144,1
79,511,1
79,511,1
273,6,1
274,6,1
281,512,1
281,513,1
282,6,1
275,6,1
276,6,1
283,6,1
256,490,1
263,6,1
284,6,1
285,6,1
286,6,1
287,6,1
288,6,1
267,502,1
267,501,1
289,514,1
63,6,1
289,515,1
289,516,1
289,517,1
289,518,1
290,6,1
265,6,1
266,6,1
283,6,1
282,6,1
269,6,1
225,6,1
287,519,1
288,6,1
291,6,1
287,6,1
286,6,1
290,6,1
292,6,1
250,6,1
293,6,1
294,6,1
291,6,1
295,520,1
176,521,1
102,6,1
7,492,1
7,491,1
296,522,1
297,6,1
296,522,1
298,523,1
298,524,1
7,525,1
7,526,1
296,527,1
296,527,1
7,528,1
299,529,1
300,530,1
301,531,1
301,532,1
302,533,1
302,534,1
33,75,1
296,535,1
33,75,1
296,535,1
268,6,1
68,6,1
300,530,1
48,77,1
303,536,1
303,537,1
303,538,1
303,539,1
304,540,1
296,541,1
296,541,1
305,542,1
306,543,1
307,544,1
308,6,1
309,545,1
310,546,1
311,6,1
312,547,1
312,548,1
312,549,1
313,6,1
297,6,1
7,525,1
7,526,1
314,550,1
315,551,1
316,6,1
315,551,1
313,6,1
285,6,1
317,552,1
317,553,1
317,554,1
317,555,1
317,556,1
316,6,1
311,6,1
318,6,1
319,557,1
319,557,1
319,558,1
320,559,1
321,6,1
322,6,1
323,6,1
324,6,1
325,560,1
325,561,1
325,562,1
325,563,1
223,6,1
309,564,1
326,565,1
326,566,1
326,567,1
326,568,1
326,569,1
327,570,1
7,571,1
7,572,1
327,573,1
319,574,1
328,575,1
329,576,1
329,577,1
329,578,1
303,579,1
303,580,1
303,581,1
324,6,1
318,6,1
330,6,1
323,6,1
330,6,1
251,77,1
223,6,1
331,582,1
332,6,1
333,77,1
321,6,1
325,583,1
325,584,1
334,6,1
335,585,1
335,586,1
336,587,1
335,588,1
337,6,1
331,589,1
338,590,1
290,6,1
7,571,1
7,572,1
238,591,1
238,592,1
238,593,1
238,594,1
238,595,1
7,596,1
7,597,1
339,598,1
340,599,1
341,6,1
290,6,1
342,600,1
343,601,1
344,602,1
332,6,1
344,602,1
293,6,1
345,603,1
346,604,1
347,605,1
347,606,1
347,606,1
347,606,1
301,531,1
301,532,1
348,6,1
349,607,1
347,608,1
347,609,1
347,610,1
250,6,1
350,91,1
33,75,1
33,75,1
341,6,1
351,611,1
351,612,1
351,613,1
351,614,1
351,615,1
351,616,1
351,617,1
351,618,1
7,596,1
7,597,1
352,619,1
352,620,1
353,6,1
7,10,1
344,621,1
301,532,1
354,622,1
354,623,1
355,6,1
354,328,1
7,9,1
7,624,1
356,625,1
162,328,1
301,532,1
258,6,1
319,574,1
319,626,1
325,584,1
325,583,1
357,6,1
358,627,1
348,6,1
285,6,1
359,628,1
203,427,1
203,428,1
360,6,1
361,629,1
351,630,1
322,6,1
350,91,1
350,91,1
301,531,1
362,631,1
331,582,1
331,589,1
357,6,1
353,6,1
347,632,1
363,633,1
363,633,1
347,634,1
363,633,1
363,633,1
363,633,1
347,635,1
363,636,1
347,637,1
363,636,1
363,636,1
347,637,1
363,636,1
363,636,1
294,6,1
301,531,1
317,552,1
360,6,1
355,6,1
55,638,1
351,630,1
292,6,1
7,624,1
264,6,1
364,639,1
364,639,1
264,6,1
365,6,1
177,6,1
253,6,1
366,640,1
367,6,1
368,6,1
27,641,1
27,642,1
27,643,1
27,644,1
369,6,1
285,6,1
284,6,1
370,645,1
371,646,1
372,647,1
373,648,1
373,649,1
373,650,1
374,651,1
339,598,1
308,652,1
367,6,1
308,6,1
199,653,1
199,654,1
199,421,1
375,655,1
369,6,1
369,656,1
376,657,1
376,658,1
376,659,1
376,660,1
376,661,1
100,6,1
376,662,1
277,6,1
338,590,1
264,6,1
377,663,1
148,664,1
368,6,1
378,665,1
333,77,1
177,6,1
334,6,1
337,6,1
368,666,1
63,6,1
102,6,1
365,6,1
379,667,1
380,668,1
11,18,1
381,669,1
336,670,1
381,671,1
382,672,1
382,673,1
382,674,1
373,675,1
249,479,1
383,676,1
384,677,1
385,678,1
385,679,1
385,680,1
385,681,1
385,682,1
386,683,1
387,684,1
387,685,1
387,686,1
387,687,1
