id,title
0,Taxation of bilateral investments : tax treaties after BEPs
1,Science Library MISC :  table numbers
2,"Off the record : my dream job at the White House, how I lost it, and what I learned"
3,Introduction to quantitative genetics
4,Signals and noise in communication systems
5,The semiotic self
6,HL MISC
7,Risk society : towards a new modernity
8,Stepping out : the making of Chinese entrepreneurs
9,Rise of the vampire
10,The reconstruction of religious thought in Islam
11,Islam at the crossroads
12,Quest for architectural excellence : a Malaysian experience
13,Should current generations make reparation for slavery?
14,A short history of inequality
15,Modern labor economics : theory and public policy
16,Law of intellectual property of Singapore
17,Company law
18,Perception and misperception in international politics
19,The medical history of early Singapore
20,明末清初《荘子》註觧研究 : 以憨山德清、方以智、王船山為例
21,朱熹思想硏究
22,"Men, women, and domestics : articulating middle-class identity in colonial Bengal"
23,Managing emerging technologies and organizational transformation in Asia : a casebook
24,Basic and clinical biostatistics.
25,Biostatistics : how it works
26,After capitalism
27,Batik in Singapore
28,Patterns and pattern-making techniques in the traditional textiles of Southeast Asia.
29,The work of the Singapore Improvement Trust.
30,"Blockchain, virtual currencies and ICOs : navigating the legal landscape"
31,Cryptocurrency and blockchain
32,Catalogue of the living marine bivalve molluscs of China
33,"The Bivalvia : proceedings of a Memorial Symposium in honour of Sir Charles Maurice Yonge (1899-1986) at the IXth International Malacological Congress, 1986, Edinburgh, Scotland, U.K."
34,Cryptocurrencies in public and private law
35,Girl rising
36,"Nature's colony : empire, nation and environment in the Singapore Botanic Gardens"
37,Anthropocene [videorecording] : the human epoch
38,Exercices pour la technique supérieure du hautbois [music] = Exercises for advanced oboe technique = Übungen für den Fortgeschrittenen Unterricht der Oboe = Ejercicios para la tecnica superior del oboe
39,48 études [music] : pour hautbois ou saxophone = 48 studies for oboe or saxophone : op. 31
40,Sonata [music] : für Oboe und Klavier = Sonate pour hautbois et piano = Sonata for oboe and piano : op. 166
41,Bivalved seashells of the Red sea
42,Reflections on biography
43,Biography in theory
44,Biography and society : the life history approach in the social sciences
45,How to do biography : a primer
46,"History, theory, text : historians and the linguistic turn"
47,"Telling lives, the biographer's art"
48,Biographical research
49,"Temporalities, autobiography, and everyday life"
50,The uses of autobiography
51,Biography and history
52,"Theoretical discussions of biography : approaches from history, microhistory and life writing"
53,"Cheshire, North & Fawcett private international law"
54,The conflict of laws
55,Clarkson & Hill's conflict of laws
56,Collier's conflict of laws.
57,Population and history
58,Financial accounting : information for decisions
59,Advanced financial accounting : an IFRS standards approach
60,"Human performance : cognition, stress, and individual differences"
61,Atiyah's introduction to the law of contract
62,Remedies in contract and tort
63,"Land law : issues, debates, policy"
64,The law of contract
65,新版 能．狂言事典
66,Tea in China : a religious and cultural history
67,Cubed : a secret history of the workplace
68,The Basics of process mapping
69,Dickens and women
70,Charles Dickens and the image of woman
71,"Dickens, women and language"
72,The madwoman in the attic : the woman writer and the nineteenth-century literary imagination
73,Feminisms : a reader
